"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2019,132114094,107685719,51,"C",13,,""
2019,132118213,107691214,14,"C",18,,""
2019,132118241,107691240,23,"C",8,,""
2019,132118299,107691279,5,"C",13,,""
2019,132118387,107691356,51,"C",20,,""
2019,132118388,107691356,16,"C",20,,""
2019,132118399,107691367,21,"C",20,,""
2019,132114933,107680681,51,"C",19,,""
2019,132118414,107691381,49,"C",20,,"N"
2019,132118418,107691384,5,"C",20,,""
2019,132123736,107691388,16,"C",20,,""
2019,132123749,107691393,45,"C",25,,""
2019,132123751,107691393,5,"C",25,,""
2019,132118434,107691404,16,"C",13,,""
2019,132118436,107691408,45,"C",13,,""
2019,132118454,107691420,16,"C",20,,""
2019,132123797,107688278,15,"C",20,,""
2019,132118464,107691428,44,"C",20,,""
2019,132118508,107691472,51,"C",20,,""
2019,132118524,107691485,14,"C",20,,""
2019,132123898,107688377,51,"C",13,,""
2019,132118545,107691496,51,"C",20,,""
2019,140195517,115278615,51,"C",20,,""
2019,140202112,115283424,51,"C",13,,""
2019,140195524,115278622,45,"C",8,,""
2019,140195566,115278658,56,"C",13,,""
2019,140195583,115278678,51,"C",41,,""
2019,140195588,115278683,45,"C",8,,""
2019,140195596,115278690,27,"C",18,,""
2019,140195600,115278694,45,"C",8,,""
2019,140195611,115278700,51,"C",20,,""
2019,140198288,115274198,21,"C",20,,""
2019,140195623,115278711,39,"C",20,,""
2019,140195629,115278712,51,"C",13,,""
2019,140195649,115274207,45,"C",8,,""
2019,140195650,115278728,39,"C",3,,""
2019,140195652,115278730,16,"C",13,,""
2019,140195670,115278746,51,"C",20,,""
2019,140195679,115278755,16,"C",13,,""
2019,140195690,115278767,23,"C",7,,""
2019,140195701,115278775,14,"C",20,,""
2019,140195706,115278781,49,"C",18,,"N"
2019,140195721,115278794,23,"C",7,,""
2019,140195722,115278794,16,"C",20,,""
2019,140195731,115278798,51,"C",8,,""
2019,140195736,115278803,51,"C",20,,""
2019,140202124,115278809,5,"C",25,,""
2019,140195751,115283435,51,"C",20,,""
2019,140195750,115283435,27,"C",20,,""
2019,140195755,115278819,5,"C",19,,""
2019,140195759,115278823,51,"C",20,,""
2019,140195760,115278823,5,"C",25,,""
2019,140202155,115278839,45,"C",20,,""
2019,140195784,115278846,39,"C",20,,""
2019,140195790,115278850,44,"C",20,,""
2019,140195793,115278854,45,"C",20,,""
2019,140195796,115278858,45,"C",20,,""
2019,140202179,115278861,16,"C",15,,""
2019,140202178,115278861,51,"C",20,,""
2019,137556144,112551076,51,"C",20,,""
2019,137546155,112541084,5,"C",20,,""
2019,137551156,112551086,45,"C",20,,""
2019,137551186,112551115,51,"C",20,,""
2019,137551196,112551125,27,"C",20,,""
2019,137551201,112551129,39,"C",41,,""
2019,137551203,112551131,44,"C",20,,""
2019,137551214,112551142,5,"C",20,,""
2019,137551222,112551150,45,"C",31,,""
2019,137556220,112551151,5,"C",20,,""
2019,132104877,107684244,39,"C",13,,""
2019,132104878,107684249,5,"C",20,,""
2019,132113002,107684303,49,"C",20,,"N"
2019,132105048,107684341,51,"C",20,,""
2019,132113037,107684349,51,"C",25,,""
2019,132111007,107675003,45,"C",20,,""
2019,132105088,107684375,44,"C",20,,""
2019,132113057,107684379,44,"C",20,,""
2019,132105100,107675037,51,"C",20,,""
