"DATA_YEAR","VICTIM_ID","INCIDENT_ID","VICTIM_SEQ_NUM","VICTIM_TYPE_ID","ASSIGNMENT_TYPE_ID","ACTIVITY_TYPE_ID","OUTSIDE_AGENCY_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_STATUS_CODE","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,133528797,121728050,1,4,,,,5,30,"M",2,2,"N",30,0
2019,133528812,121728064,1,8,,,,,,"",,,"",,
2019,133521857,121741235,1,4,,,,5,41,"F",1,2,"R",41,0
2019,133528859,121728108,1,1,,,,,,"",,,"",,
2019,133528867,121728114,1,4,,,,5,58,"F",1,2,"R",58,0
2019,133528877,121728122,1,4,,,,5,21,"F",1,1,"R",21,0
2019,133528891,121728137,1,4,,,,5,55,"M",1,2,"R",55,0
2019,133522014,121741379,1,4,,,,5,36,"F",1,2,"R",36,0
2019,133528921,121728164,1,4,,,,5,90,"F",1,3,"R",90,0
2019,133528927,121728168,1,4,,,,5,63,"F",1,2,"R",63,0
2019,133533303,121738179,1,4,,,,5,53,"M",1,2,"R",53,0
2019,133528939,121728179,1,1,,,,,,"",,,"",,
2019,133522087,121741450,1,1,,,,,,"",,,"",,
2019,133533334,121738205,1,8,,,,,,"",,,"",,
2019,133528969,121728203,1,4,,,,5,20,"F",1,2,"R",20,0
2019,133533367,121738235,1,8,,,,,,"",,,"",,
2019,133528997,121728228,1,4,,,,5,62,"M",1,2,"R",62,0
2019,133529009,121728236,1,4,,,,5,23,"M",2,2,"R",23,0
2019,133522237,121741588,1,1,,,,,,"",,,"",,
2019,133533447,121728258,1,4,,,,5,56,"M",2,2,"N",56,0
2019,133522293,121738330,1,4,,,,5,76,"F",2,2,"R",76,0
2019,133529054,121728277,1,4,,,,5,35,"M",2,2,"R",35,0
2019,133522371,121738368,1,4,,,,5,90,"M",1,2,"R",90,0
2019,133533540,121741755,1,4,,,,5,65,"M",1,2,"R",65,0
2019,133533551,121738425,1,4,,,,5,34,"M",1,2,"R",34,0
2019,133529138,121728343,1,4,,,,5,60,"F",2,2,"R",60,0
2019,133522542,121741855,1,4,,,,5,18,"M",1,2,"N",18,0
2019,133529163,121728358,1,4,,,,5,27,"M",2,2,"R",27,0
2019,133529170,121728365,1,4,,,,5,60,"F",1,2,"R",60,0
2019,133522605,121741914,1,4,,,,5,22,"F",1,1,"R",22,0
2019,133533639,121728378,1,4,,,,5,57,"M",1,2,"R",57,0
2019,133529210,121728407,1,8,,,,,,"",,,"",,
2019,133529221,121728417,1,4,,,,5,40,"M",2,2,"R",40,0
2019,133529227,121728423,1,8,,,,,,"",,,"",,
2019,132992621,121261171,1,1,,,,,,"",,,"",,
2019,132992634,121261186,1,4,,,,5,40,"F",0,2,"R",40,0
2019,132997961,121266151,1,4,,,,5,17,"F",2,2,"R",17,0
2019,132998001,121266188,3,8,,,,,,"",,,"",,
2019,132998018,121266207,1,4,,,,5,45,"F",1,,"R",45,0
2019,132998021,121266211,1,4,,,,5,43,"M",2,,"",43,0
2019,132998039,121266227,1,4,,,,5,59,"F",1,,"",59,0
2019,132998044,121266231,1,4,,,,5,32,"M",1,2,"",32,0
2019,132977264,121266261,1,1,,,,,,"",,,"",,
2019,132998077,121238418,2,4,,,,5,63,"M",2,2,"R",63,0
2019,132992762,121266277,1,4,,,,5,29,"F",1,2,"R",29,0
2019,132997916,121266112,1,4,,,,5,18,"M",2,3,"R",18,0
2019,132977124,121238274,1,4,,,,5,24,"F",2,3,"U",24,0
2019,132997950,121266140,1,4,,,,5,58,"M",1,,"",58,0
2019,132977171,121266178,2,4,,,,5,53,"F",1,,"R",53,0
2019,132977187,121266193,1,4,,,,5,56,"M",2,2,"R",56,0
2019,132997996,121266181,1,4,,,,5,42,"F",1,2,"R",42,0
2019,132977207,121266209,1,4,,,,5,38,"F",1,2,"R",38,0
2019,132977373,121266374,3,4,,,,5,92,"M",2,2,"R",92,0
2019,132998200,121266400,2,1,,,,,,"",,,"",,
