"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2019,133548847,138391172,10,42295427
2019,133544483,138384748,1,42295429
2019,133544484,138384748,1,42299533
2019,133548851,138384748,1,42295428
2019,133544494,138389117,15,42299535
2019,133544504,138389126,26,42299540
2019,133544502,138389124,18,42295441
2019,133544503,138389124,18,42299538
2019,133544502,138389125,18,42299537
2019,133544503,138389125,18,42299539
2019,133544505,138389128,1,42299541
2019,133544506,138389127,1,42295442
2019,133548882,138391209,5,42295449
2019,133544538,138389160,20,42299549
2019,133544538,138389161,5,42299550
2019,133544560,138389188,16,42290155
2019,133544560,138389187,16,42290154
2019,133544560,138391267,9,42290156
2019,133544560,138389186,16,42290153
2019,133548959,138384842,16,42295478
2019,133548959,138384843,18,42295479
2019,133548959,138384841,16,42295477
2019,133544581,138384842,18,42295481
2019,133544581,138384843,16,42295482
2019,133544581,138384841,18,42295480
2019,133544587,138384848,3,42299563
2019,133548968,138391304,3,42295485
2019,133544590,138389216,1,42299565
2019,133548982,138391324,16,42295496
2019,133553431,138384873,19,42290176
2019,133544633,138391358,21,42299587
2019,133544636,138391359,16,42290197
2019,133549016,138391360,16,42295509
2019,133544636,138391360,25,42299589
2019,133549016,138391359,25,42295508
2019,133544656,138389267,18,42299597
2019,133544663,138389274,18,42290200
2019,133549044,138389277,21,42299602
2019,133544667,138391393,16,42299604
2019,133544671,138389283,25,42299606
2019,133544672,138389283,3,42299608
2019,133544671,138389284,3,42299607
2019,133544672,138389284,25,42299609
2019,133544673,138384932,18,42299610
2019,133549057,138384937,3,42295524
2019,133553485,138384935,6,42290205
2019,133549060,138391406,21,42295527
2019,133549063,138389288,16,42295528
2019,133544682,138391415,18,42299614
2019,133544681,138391415,18,42295530
2019,133544682,138384947,18,42299613
2019,133544681,138384947,18,42295529
2019,133544689,138391421,1,42290207
2019,133544689,138384956,1,42299617
2019,133544687,138389292,17,42299616
2019,133549074,138384961,21,42295536
2019,133544698,138391433,16,42295540
2019,133553512,138389302,16,42290209
2019,133544710,138391447,16,42295544
2019,133544717,138394979,3,42290249
2019,133553528,138394979,16,42299658
2019,133544725,138391467,3,42299670
2019,133544728,138394992,9,42299671
2019,133544744,138389352,21,42295611
2019,133549145,138395006,22,42290271
2019,133544757,138389362,9,42299706
2019,133544756,138389362,9,42299705
2019,133544763,138389366,18,42299707
2019,133544770,138389378,16,42295637
2019,133544775,138391557,25,42299719
2019,133544776,138395048,23,42299720
2019,133544775,138391556,16,42299718
2019,133544775,138395048,22,42299717
2019,133544776,138391557,16,42299722
2019,133544776,138391556,25,42299721
2019,133549212,138389404,18,42299727
2019,133549212,138389403,25,42299726
2019,133544787,138389403,18,42295650
2019,133544787,138389404,25,42299728
2019,133544797,138389413,9,42299731
2019,133549224,138389416,18,42295658
2019,133544810,138391598,18,42295666
2019,133544811,138395081,18,42299736
2019,133544810,138395081,18,42295665
2019,133544811,138391598,18,42299737
2019,133544845,138395114,21,42299750
2019,133544855,138389494,3,42299753
2019,133544859,138389496,18,42290315
2019,133544859,138389498,18,42299755
2019,133544859,138389497,18,42299754
2019,133549294,138389504,25,42299756
2019,133549296,138395136,25,42295683
2019,133549296,138389504,3,42295682
2019,133549294,138395136,3,42299757
2019,133544875,138389509,25,42299761
2019,133544874,138389510,25,42299760
2019,133544875,138389510,18,42299762
2019,133544874,138389509,18,42299759
2019,133553697,138395150,17,42290328
2019,133553698,138395150,25,42290330
2019,133553697,138395151,25,42290329
2019,133553698,138395151,5,42290331
2019,133549316,138391696,9,42295694
2019,133544884,138391701,21,42299767
2019,133544885,138389532,1,42299768
2019,133544894,138389538,3,42299771
2019,133544893,138391706,15,42290334
2019,133544897,138389543,1,42299772
2019,133544901,138389547,9,42299773
2019,133544906,138389551,1,42299774
2019,133544910,138389556,18,42299775
2019,133544919,138391729,17,42299776
2019,133544927,138389580,3,42295703
2019,133544944,138389597,18,42299782
2019,133544943,138389597,18,42299781
2019,133544945,138389597,18,42299783
2019,133544958,138389607,18,42299791
2019,133544958,138389606,13,42299790
2019,133544957,138389607,13,42299789
2019,133544957,138389606,18,42299788
2019,133544974,138389623,24,42299794
2019,133544980,138395224,25,42299795
2019,133544981,138395225,25,42299798
2019,133544981,138395224,18,42299797
2019,133544980,138395225,18,42299796
2019,133544991,138389638,26,42299799
2019,133544997,138389641,18,42299800
2019,133553777,138395242,16,42290364
2019,133545007,138389650,22,42299803
2019,133545008,138389652,3,42299804
2019,133549430,138391817,16,42295719
2019,133545037,138389681,17,42299816
2019,133545040,138395278,1,42299817
2019,133545047,138389690,3,42299820
2019,133545049,138389694,18,42299821
2019,133545069,138389716,18,42299822
2019,133545073,138389721,9,42299823
2019,133545077,138389725,18,42299824
2019,133545079,138389727,3,42299825
2019,133545094,138389745,1,42299830
2019,133545099,138389750,18,42299834
2019,133545099,138389749,18,42299833
2019,133545098,138389749,18,42299831
2019,133545098,138389750,18,42299832
2019,133549511,138391900,6,42295745
2019,133545103,138389753,16,42299836
2019,133545107,138389758,9,42299839
2019,133545116,138389765,18,42299844
2019,133545122,138389777,3,42299847
2019,133545136,138389798,19,42299851
2019,133545135,138389798,19,42299849
2019,133545135,138389797,19,42299848
2019,133545136,138389797,19,42299850
2019,133549557,138391940,9,42295772
2019,133545140,138389803,18,42299852
2019,133545140,138389804,25,42299853
2019,133545141,138389803,25,42299854
2019,133545141,138389804,18,42299855
2019,133545144,138389807,18,42299858
2019,133545149,138391950,1,42299859
2019,133545154,138389819,21,42299861
2019,133549584,138391966,1,42295785
2019,133545169,138389837,16,42299863
2019,133545171,138389841,21,42299864
2019,133545176,138389847,18,42299874
2019,133545175,138389846,18,42299873
2019,133545173,138389845,18,42299866
2019,133545175,138389844,18,42299871
2019,133545174,138389845,18,42299869
2019,133545174,138389846,18,42299870
2019,133545173,138389846,18,42299867
2019,133545175,138389845,18,42299872
2019,133545173,138389844,18,42299865
2019,133545174,138389844,18,42299868
2019,133545191,138389863,24,42299883
2019,133545191,138389862,25,42299882
2019,133545190,138389863,25,42299881
2019,133545190,138389862,24,42299880
2019,133545200,138389872,21,42299885
2019,133545213,138389885,18,42299889
2019,133545213,138389883,16,42299888
2019,133545211,138389883,18,42299886
2019,133545211,138389885,16,42299887
2019,133545216,138389890,5,42299890
2019,133553923,138395405,3,42290428
2019,133545222,138389895,21,42299892
2019,133521848,138375076,25,42296398
2019,133521931,138375140,3,42296423
2019,133521944,138380073,18,42296426
2019,133521952,138370995,18,42296432
2019,133521952,138370996,18,42296433
2019,133522118,138380165,3,42296484
2019,133522214,138371297,18,42296512
2019,133533487,138371411,18,42296560
2019,133533488,138371411,18,42293154
2019,133529082,138371463,3,42288338
2019,133522393,138375465,18,42293163
2019,133522621,138371733,18,42296649
2019,133522663,138380417,15,42296671
2019,133522661,138380419,16,42296668
2019,133522661,138380418,16,42296667
2019,133529198,138380419,16,42288391
2019,133522661,138380417,15,42288394
2019,133529197,138380421,16,42288388
2019,133522663,138380421,16,42296675
2019,133522663,138380418,16,42296672
2019,133522663,138380419,15,42296673
2019,133529197,138380420,15,42288387
2019,133529197,138380417,16,42296666
2019,133522661,138380421,16,42296670
2019,133522663,138380420,16,42296674
2019,133529198,138380421,16,42288393
2019,133529198,138380417,16,42288389
2019,133529197,138380418,16,42288385
2019,133529198,138380420,16,42288392
2019,133529197,138380419,15,42288386
2019,133529198,138380418,16,42288390
2019,133522687,138371791,16,42296681
2019,133522688,138371791,16,42296683
2019,133522688,138371789,3,42296682
2019,133522687,138371789,16,42296680
2019,133522692,138375643,1,42293223
2019,133522741,138371841,3,42296696
2019,133522769,138371875,18,42296715
2019,133522769,138375690,18,42296713
2019,133522769,138375688,18,42296710
2019,133522769,138375689,18,42296711
2019,133522840,138380506,25,42296755
2019,133522839,138380505,25,42296752
2019,133522840,138380505,18,42296754
2019,133522839,138380506,18,42296753
2019,133522838,138375729,1,42288417
2019,133522880,138372007,26,42293268
2019,133537935,138372070,14,42296783
2019,133537941,138372074,3,42296784
2019,133537961,138380562,18,42296790
2019,133533854,138375820,3,42293301
2019,133538070,138380605,21,42296832
2019,133538089,138375883,16,42296838
2019,133533927,138375916,3,42288457
2019,133533965,138372394,18,42296911
2019,133538267,138380705,16,42296922
2019,133533984,138380705,3,42293363
2019,133538368,138380731,3,42288490
2019,133529478,138372578,18,42288498
2019,133534087,138372647,3,42297000
2019,133538543,138372739,3,42297030
2019,133538560,138372752,21,42297039
2019,133538570,138372767,21,42297042
2019,133538588,138380825,26,42297058
2019,133538595,138376157,16,42288545
2019,133538595,138372801,16,42297064
2019,133534171,138372816,16,42293445
2019,133538617,138376173,18,42297086
2019,133538615,138376173,24,42288551
2019,133538616,138376172,18,42297084
2019,133538613,138376172,18,42293452
2019,133529576,138376172,18,42288549
2019,133529578,138376172,18,42288550
2019,133534182,138376172,18,42293451
2019,133538668,138376197,18,42293467
2019,133538713,138372916,21,42288563
2019,133538737,138372946,17,42297146
2019,133529663,138373033,17,42288588
2019,133534294,138376293,16,42297200
2019,133538840,138376293,3,42297199
2019,133529678,138373100,1,42297215
2019,133538914,138373129,17,42297236
2019,133538915,138373129,3,42297240
2019,133538936,138380960,3,42297254
2019,133538971,138373204,3,42293546
2019,133529718,138380979,21,42288611
2019,133529732,138376405,18,42293567
2019,133539049,138373294,6,42297309
2019,133529757,138381017,18,42297315
2019,133539096,138376461,19,42293585
2019,133539099,138373342,16,42297326
2019,133539109,138373353,26,42297328
2019,133534464,138373375,19,42293591
2019,133539133,138376486,16,42288645
2019,133539133,138376487,16,42297334
2019,133529773,138376487,16,42297336
2019,133529773,138376486,16,42297335
2019,133539139,138381039,16,42293592
2019,133539189,138376535,3,42297354
2019,133534494,138376535,1,42288659
2019,133539216,138376553,25,42297373
2019,133539221,138373471,25,42293615
2019,133534520,138373470,17,42297371
2019,133539221,138373470,17,42297380
2019,133534520,138376553,13,42297370
2019,133539219,138373470,25,42293613
2019,133539221,138376553,13,42297379
2019,133539216,138373471,16,42288670
2019,133539216,138373470,3,42297375
2019,133539219,138373471,5,42293614
2019,133539219,138376553,3,42297378
2019,133534520,138373471,21,42297372
2019,133539234,138373495,16,42293621
2019,133529831,138373496,1,42288675
2019,133534536,138376572,1,42293622
2019,133529834,138373498,3,42293624
2019,133539251,138376579,3,42293627
2019,133534548,138373514,1,42297389
2019,133539257,138376585,16,42297393
2019,133539262,138376588,18,42297395
2019,133539265,138376588,18,42297397
2019,133534571,138373551,3,42297401
2019,133539285,138373563,21,42297405
2019,133534605,138376627,15,42297438
2019,133539335,138373621,18,42293655
2019,133539335,138373620,18,42293654
2019,133539335,138373622,18,42293656
2019,133539335,138373623,18,42293657
2019,133539335,138373624,18,42288688
2019,133529865,138376636,19,42288689
2019,133539343,138376641,18,42293664
2019,133539371,138373652,1,42297449
2019,133534626,138376666,21,42293671
2019,133529882,138381137,3,42297454
2019,133539384,138373663,18,42297456
2019,133539383,138373662,21,42297457
2019,133534643,138376681,1,42297459
2019,133534643,138376680,3,42288701
2019,133539403,138376692,3,42297463
2019,133539435,138373721,16,42297479
2019,133539450,138376733,17,42297489
2019,133539457,138373748,21,42288718
2019,133529944,138376743,1,42297493
2019,133529954,138376765,16,42297507
2019,133539488,138373788,18,42293714
2019,133539488,138381203,1,42293715
2019,133539494,138381210,1,42293717
2019,133539498,138381210,18,42288729
2019,133539498,138381212,19,42288730
2019,133539498,138381209,19,42288728
2019,133539494,138381209,25,42288727
2019,133539494,138381212,19,42297515
2019,133539552,138381261,25,42297541
2019,133539551,138376824,25,42297540
2019,133539552,138376824,3,42293732
2019,133539551,138381261,3,42288747
2019,133530026,138373900,1,42297554
2019,133539587,138373900,26,42293740
2019,133530035,138373905,11,42293743
2019,133534831,138381304,26,42288768
2019,133530046,138376885,25,42297570
2019,133539633,138376884,25,42297567
2019,133530046,138376884,6,42297569
2019,133539633,138376885,6,42297568
2019,133539641,138376889,18,42297573
2019,133530058,138376904,8,42288779
2019,133534861,138373963,3,42297576
2019,133530065,138381338,3,42288784
2019,133530062,138373968,18,42288780
2019,133539672,138381344,1,42297579
2019,133539675,138381344,1,42297580
2019,133539676,138373976,18,42297581
2019,133539676,138373977,24,42297582
2019,133530094,138381366,16,42288796
2019,133530099,138381371,3,42288799
2019,133534911,138374029,25,42288800
2019,133534911,138381372,1,42297599
2019,133530104,138381372,25,42297601
2019,133530104,138374029,1,42297600
2019,133539715,138374040,24,42288803
2019,133539715,138374039,24,42288802
2019,133539718,138376954,3,42293779
2019,133534927,138374054,3,42297607
2019,133534928,138376963,24,42297608
2019,133539769,138374096,9,42297632
2019,133539768,138374094,18,42297630
2019,133539768,138374095,18,42297631
2019,133539795,138381421,15,42293810
2019,133534998,138377040,24,42297645
2019,133539808,138381429,18,42297644
2019,133539831,138374153,21,42297654
2019,133539839,138377068,24,42297662
2019,133539844,138374166,3,42297665
2019,133539911,138374225,6,42297688
2019,133539919,138377130,18,42293859
2019,133539919,138377131,18,42293860
2019,133535088,138374240,3,42297692
2019,133539935,138374250,21,42293868
2019,133530237,138374261,18,42297700
2019,133539955,138374275,18,42288869
2019,133535132,138377193,1,42297703
2019,133535149,138381546,16,42293891
2019,133539994,138374316,16,42288875
2019,133539994,138381546,18,42288876
2019,133535149,138374316,18,42293890
