"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
71462019,7146,2019,"LA0030000","LA0030000","","N","N",,"I","ASCENSION","ASCENSION CO SO DONALDSONVILLE","Ascension","","A",22,"Louisiana","LA","LA","7","West South Central","3","South","Region III","County",115268,23370,"LAUCR0001","Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS","Y",19,"9A","MSA counties 100,000 or over","9","MSA Counties","Y",3,"R","Y",235,10,245,50,59,109,0,0,01-JAN-02,01-JAN-03,01-JAN-03,,,,"N","ASCENSION","Baton Rouge, LA","Y","Y","Y"
71482019,7148,2019,"LA0030200","LA0030200","","N","N",,"I","GONZALES","GONZALES PD","Gonzales","","A",22,"Louisiana","LA","LA","7","West South Central","3","South","Region III","City",10940,23370,"LAUCR0001","Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",38,0,38,2,5,7,0,0,01-JAN-02,01-JAN-11,01-JAN-11,,,,"N","ASCENSION","Baton Rouge, LA","Y","Y","Y"
71652019,7165,2019,"LA0080000","LA0080000","","N","N",,"I","BOSSIER","BOSSIER CO SO BENTON","Bossier","","A",22,"Louisiana","LA","LA","7","West South Central","3","South","Region III","County",50623,23370,"LAUCR0001","Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",280,32,312,50,52,102,0,0,01-JAN-02,01-JAN-04,01-JAN-04,,,,"N","BOSSIER","Shreveport-Bossier City, LA","Y","Y","Y"
71712019,7171,2019,"LA0090000","LA0090000","","N","N",,"I","CADDO","CADDO CO SO SHREVEPORT","Caddo","","A",22,"Louisiana","LA","LA","7","West South Central","3","South","Region III","County",47495,23370,"LAUCR0001","Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",310,32,342,104,169,273,0,0,01-JAN-02,01-JAN-04,01-JAN-04,,,,"N","CADDO","Shreveport-Bossier City, LA","Y","Y","Y"
71772019,7177,2019,"LA0100000","LA0100000","","N","N",,"I","CALCASIEU","CALCASIEU CO SO LAKE CHARLES","Calcasieu","","A",22,"Louisiana","LA","LA","7","West South Central","3","South","Region III","County",89718,23370,"LAUCR0001","Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",406,193,599,185,85,270,0,0,01-JAN-02,01-JAN-09,01-JAN-09,,,,"N","CALCASIEU","Lake Charles, LA","Y","Y","Y"
71922019,7192,2019,"LA0140000","LA0140000","","N","N",,"I","CLAIBORNE","CLAIBORNE CO SO HOMER","Claiborne","","A",22,"Louisiana","LA","LA","7","West South Central","3","South","Region III","County",13655,23370,"LAUCR0001","Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",19,15,34,12,24,36,0,0,01-JAN-02,01-APR-09,01-APR-09,,,,"N","CLAIBORNE","Non-MSA","Y","Y","Y"
72032019,7203,2019,"LA0170100","LA0170100","","N","N",,"I","BAKER","BAKER PD","Baker","","A",22,"Louisiana","LA","LA","7","West South Central","3","South","Region III","City",13240,23370,"LAUCR0001","Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",22,1,23,5,8,13,0,0,01-JAN-02,01-JAN-03,01-JAN-03,,,,"N","EAST BATON ROUGE","Baton Rouge, LA","Y","Y","Y"
72092019,7209,2019,"LA0180000","LA0180000","","N","N",,"I","EAST CARROLL","EAST CARROLL CO SO LAKE PROVIDENCE","East Carroll","","A",22,"Louisiana","LA","LA","7","West South Central","3","South","Region III","County",3418,23370,"LAUCR0001","Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",16,9,25,1,20,21,0,0,01-JAN-02,01-JAN-03,01-JAN-03,,,,"N","EAST CARROLL","Non-MSA","Y","Y","Y"
72162019,7216,2019,"LA0200000","LA0200000","","N","N",,"I","EVANGELINE","EVANGELINE CO SO VILLE PLATTE","Evangeline","","A",22,"Louisiana","LA","LA","7","West South Central","3","South","Region III","County",21207,23370,"LAUCR0001","Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",18,15,33,0,13,13,0,0,01-JAN-02,01-JAN-08,01-JAN-08,,,,"N","EVANGELINE","Non-MSA","Y","Y","Y"
72172019,7217,2019,"LA0200100","LA0200100","","N","N",,"I","BASILE","BASILE PD","Basile","","A",22,"Louisiana","LA","LA","7","West South Central","3","South","Region III","City",1799,23370,"LAUCR0001","Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",7,0,7,1,1,2,0,0,01-JAN-02,01-JAN-04,01-JAN-04,,,,"N","ACADIA; EVANGELINE","Lafayette, LA","Y","Y","Y"
