"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,138386891,121751329,1,5,36,"M",1,,36,0
2019,138383351,121751345,1,5,29,"M",1,,29,0
2019,138379544,121730881,3,5,57,"M",1,,57,0
2019,138379542,121730881,1,5,29,"F",1,,29,0
2019,138386892,121751329,2,5,25,"M",2,,25,0
2019,138379543,121730881,2,5,39,"M",1,,39,0
2019,138386942,121751377,1,5,28,"M",1,,28,0
2019,138386967,121751399,1,5,41,"F",1,,41,0
2019,138386972,121751404,1,5,20,"F",2,,20,0
2019,138383411,121751438,2,5,63,"M",1,,63,0
2019,138383410,121751438,1,5,51,"F",1,,51,0
2019,138387016,121751446,1,4,,"M",2,,,
2019,138387017,121751448,1,5,63,"M",1,,63,0
2019,138387019,121751450,1,5,23,"M",1,,23,0
2019,138387039,121751462,1,5,17,"M",2,,17,0
2019,138387042,121751471,1,4,,"U",0,,,
2019,138387053,121751482,1,5,24,"M",1,,24,0
2019,138379654,121751488,1,4,,"U",0,,,
2019,138383452,121751490,1,5,38,"M",1,,38,0
2019,138387075,121751505,1,5,31,"M",1,,31,0
2019,138383467,121751505,2,5,19,"M",1,,19,0
2019,138387079,121751508,1,4,,"U",0,,,
2019,138383480,121751525,3,5,22,"F",1,,22,0
2019,138387095,121751525,1,4,,"U",0,,,
2019,138387096,121751525,2,5,31,"M",1,,31,0
2019,138383486,121746961,1,4,,"U",0,,,
2019,138387115,121751538,1,5,42,"M",1,,42,0
2019,138379697,121751549,1,4,,"U",0,,,
2019,138379705,121731013,1,5,22,"M",2,,22,0
2019,138387142,121751563,1,5,48,"M",1,,48,0
2019,138383515,121746984,1,5,32,"M",2,,32,0
2019,138379713,121746985,1,5,25,"M",1,,25,0
2019,138387158,121751574,1,5,27,"M",1,,27,0
2019,138379720,121731024,1,5,27,"M",1,,27,0
2019,138387176,121751588,1,5,91,"M",1,,91,0
2019,138387177,121751590,1,5,22,"M",1,,22,0
2019,138387179,121751590,2,5,31,"M",1,,31,0
2019,138387183,121751593,1,4,,"U",0,,,
2019,138379739,121731039,1,5,24,"F",2,,24,0
2019,138387206,121751612,1,4,,"U",0,,,
2019,138383559,121751615,1,5,34,"M",1,,34,0
2019,138387228,121731075,1,4,,"M",2,,,
2019,138387242,121751650,1,5,46,"M",1,,46,0
2019,138383589,121751663,1,5,35,"M",2,,35,0
2019,138387284,121751686,1,5,41,"M",2,,41,0
2019,138387300,121751694,1,5,18,"M",2,,18,0
2019,138379832,121751694,2,5,45,"M",1,,45,0
2019,138379833,121751694,3,5,40,"M",2,,40,0
2019,138383637,121751712,1,4,,"U",0,,,
2019,138387328,121751722,1,5,47,"M",1,,47,0
2019,138387337,121751732,1,5,64,"F",1,,64,0
2019,138387347,121751747,1,4,,"U",0,,,
2019,138387348,121751747,2,4,,"F",1,,,
2019,138387367,121747120,1,5,45,"M",1,,45,0
2019,138387389,121751772,1,4,,"U",0,,,
2019,138387407,121751785,1,5,15,"M",2,,10,20
2019,138379915,121751800,1,5,56,"M",1,,56,0
2019,138387433,121751816,1,4,,"U",0,,,
2019,138387436,121751821,1,5,46,"F",1,,46,0
2019,138387450,121751836,1,5,28,"M",1,,28,0
2019,138387462,121751841,1,4,,"U",0,,,
2019,138387463,121751841,2,4,,"U",0,,,
2019,138383731,121751849,1,4,,"U",0,,,
2019,138387490,121751863,1,5,57,"M",1,,57,0
2019,138387510,121751874,1,5,30,"M",2,,30,0
2019,138387526,121751884,1,4,,"U",0,,,
2019,138387536,121751893,1,5,56,"M",2,,56,0
2019,138387545,121747213,1,4,,"U",0,,,
2019,138383775,121751903,1,5,30,"M",1,,30,0
2019,138390007,121751914,1,5,17,"M",1,,17,0
2019,138383803,121751925,1,4,,"U",0,,,
2019,138387593,121751929,1,5,21,"M",1,,21,0
2019,138383810,121751931,1,5,27,"F",1,,27,0
