"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2019,124774096,122331746,6,,
2019,124781905,122331753,7,,
2019,124774155,122331813,7,,
2019,124779018,122329476,6,,
2019,124940565,122512280,7,,
2019,124945613,122517372,6,,
2019,124940693,122512415,6,,
2019,124936691,122508679,4,,
2019,124945661,122512456,6,,
2019,124940765,122512507,7,,
2019,124940778,122512523,7,,
2019,124936777,122512559,6,,
2019,124945727,122508802,7,,
2019,124936804,122517492,4,,
2019,124945732,122508813,7,,
2019,124936811,122508813,5,,
2019,124940852,122517500,7,,
2019,124940866,122512627,3,,
2019,124936851,122517522,7,,
2019,124940900,122512666,6,,
2019,124940923,122508883,7,,
2019,125202129,122803226,7,,
2019,125197070,122803234,6,,
2019,124940454,122512158,6,,
2019,124945477,122512171,7,,
2019,124940501,122512205,6,,
2019,124936565,122517286,7,,
2019,124779065,122329516,6,,
2019,124774242,122331916,7,,
2019,124782030,122326091,7,,
2019,124774263,122331930,7,,
2019,124779133,122331952,7,,
2019,124774367,122336220,7,,
2019,124779321,122332061,7,,
2019,124779330,122329792,7,,
2019,124774417,122332076,7,,
2019,124774416,122332076,5,,
2019,124774459,122332135,6,,
2019,124782268,122336337,4,,
2019,124774465,122336337,1,,
2019,124779465,122332169,4,,
2019,124779464,122332169,1,,
2019,124774495,122332175,3,,
2019,124774506,122332189,7,,
2019,124940452,122508431,5,,
2019,124936464,122508431,7,,
2019,124940455,122512160,6,,
2019,124945499,122512210,7,,
2019,124936503,122512198,7,,
2019,124940515,122512224,6,,
2019,124945558,122512265,4,,
2019,124940605,122512324,7,,
2019,124940622,122512343,4,,
2019,124940630,122512352,6,,
2019,124936661,122517387,1,,
2019,124940787,122517460,1,,
2019,124945702,122517460,7,,
2019,124945707,122517466,5,,
2019,124945708,122517466,7,,
2019,124936770,122508769,6,,
2019,124936778,122512561,7,,
2019,124936871,122512691,6,,
2019,124940933,122512703,7,,
2019,124940981,122512769,6,,
2019,124940999,122512794,5,,
2019,124941001,122512794,7,,
2019,124941007,122512801,7,,
2019,124941016,122512810,3,,
2019,124941040,122512839,4,,
2019,124941063,122512858,7,,
2019,124941111,122512915,6,,
2019,124937011,122512933,7,,
2019,124945857,122512945,7,,
2019,124941147,122512953,7,,
2019,124945868,122512972,7,,
2019,124941172,122512989,4,,
2019,124941175,122509100,6,,
2019,124945880,122517661,7,,
2019,124941191,122513016,6,,
2019,124945885,122513016,4,,
2019,124941198,122513026,4,,
2019,124941201,122513032,7,,
2019,124937063,122509131,6,,
2019,124937079,122509152,4,,
2019,124941234,122513076,7,,
2019,124937100,122513098,7,,
2019,124937112,122509190,5,,
2019,124937113,122509190,7,,
2019,124941266,122513116,3,,
2019,124941267,122513116,5,,
2019,124941268,122513116,7,,
2019,124236642,121738058,7,,
2019,124236662,121738074,5,,
2019,124241682,121738074,7,,
2019,124245054,121738079,6,,
2019,124236690,121738106,7,,
2019,124241729,121738106,4,,
2019,124241731,121738106,5,,
2019,124241742,121738114,7,,
2019,124236713,121738121,7,,
2019,124236759,121738162,7,,
2019,124236762,121738168,1,,
2019,124236780,121738181,7,,
2019,124241882,121738198,7,,
2019,124241953,121741514,6,,
2019,124236855,121738265,6,,
2019,124236861,121738273,7,,
2019,124236878,121738289,6,,
2019,124236890,121738303,7,,
2019,124236896,121738310,7,,
2019,124242080,121738331,7,,
2019,124242079,121738331,4,,
2019,124245262,121741669,7,,
2019,124242189,121738390,7,,
2019,124236975,121738400,7,1,
2019,124237009,121738435,7,1,
2019,124237024,121738446,7,,
2019,124242311,121738476,7,,
2019,124237061,121738491,7,,
2019,124237082,121738516,6,,
2019,124242372,121741955,7,,
2019,124245385,121738548,5,,
2019,124245386,121738548,7,,
2019,124237108,121738554,4,,
2019,124237107,121738554,1,,
2019,124242453,121742033,7,,
2019,124237146,121738603,6,,
2019,124242508,121738613,4,,
2019,124245434,121738631,7,,
2019,124237197,121738655,1,,
2019,124242710,121742335,1,,
2019,124242722,121728540,7,,
2019,124245499,121742367,6,,
2019,124245540,121728585,7,,
2019,124243683,121739398,7,,
2019,124245910,121728978,7,,
2019,124243742,121743573,7,,
2019,124245957,121739468,6,,
2019,124245963,121739473,7,,
2019,124245969,121739489,7,,
2019,124237954,121739534,6,,
2019,124238038,121729132,4,,
2019,124238051,121739632,7,,
2019,124243959,121729174,5,,
2019,124238077,121729174,7,,
2019,124243965,121729178,4,,
2019,124238097,121739696,6,,
2019,124238100,121739698,6,,
2019,124238127,121739728,7,,
2019,124238130,121739733,7,,
2019,124246139,121729226,6,,
2019,124238159,121743971,7,,
2019,124246160,121739776,6,,
2019,124244115,121739794,7,,
2019,124244122,121744035,7,,
2019,124238223,121739838,1,,
2019,124238225,121739838,7,,
2019,124238224,121739838,5,,
2019,124246210,121739851,4,,
2019,124238235,121739851,7,,
2019,124238250,121739863,7,,
2019,124238248,121739863,5,,
2019,124238247,121739863,4,,
2019,124246220,121739871,4,,
2019,124244185,121739877,7,,
2019,124238275,121729344,6,,
2019,124244229,121744159,6,,
2019,124246256,121744159,4,,
2019,124246265,121729372,4,,
2019,124244265,121739953,6,,
2019,124244303,121744244,6,,
2019,124244347,121740038,7,,
2019,124244369,121744329,6,,
2019,124238413,121744336,4,,
2019,124238423,121744363,5,,
2019,124238424,121744363,7,,
2019,124238451,121744386,7,,
2019,124246396,121740135,7,,
2019,124238503,121744442,6,,
2019,124244460,121744443,4,,
2019,124246419,121744443,7,,
2019,124238506,121744443,5,,
2019,124244468,121744457,7,,
2019,124246431,121744465,6,,
2019,124238546,121740200,7,,
2019,124238558,121740206,4,,
2019,124238561,121744504,6,,
2019,124244533,121729610,6,,
2019,124246471,121740255,4,,
2019,124238607,121744567,6,,
2019,124244566,121729641,7,,
2019,124249593,121729656,1,,
2019,124238640,121740313,6,,
2019,124238643,121740316,7,,
2019,124238652,121740324,6,,
2019,124238679,121740353,6,,
2019,124238703,121740386,5,,
2019,124238704,121740386,7,,
2019,124249682,121744715,7,,
2019,124238712,121740399,7,,
2019,124238717,121740404,7,,
2019,124246587,121740427,7,,
2019,124249727,121740435,4,,
2019,124238737,121740435,7,,
2019,124249731,121744769,4,,
2019,124238749,121729772,7,,
2019,124246607,121740453,7,,
2019,124238862,121740597,7,,
2019,124238868,121740608,4,,
2019,124249897,121740623,4,,
2019,124246736,121740661,7,,
2019,124238925,121740668,7,,
2019,124249955,121740694,4,,
2019,124246788,121729981,7,,
2019,124249987,121740737,7,,
2019,124238981,121729990,7,,
2019,124250001,121745090,6,,
2019,124238999,121730002,6,,
2019,124246824,121730023,6,,
2019,124250039,121740805,3,,
2019,124239035,121740820,7,1,
2019,124246874,121730084,7,,
2019,124246873,121730084,4,,
2019,124239088,121740880,7,,
2019,124239100,121745227,6,,
2019,124250138,121740908,6,,
2019,124250244,121741051,6,,
2019,124247012,121741060,5,,
2019,124250258,121741060,7,,
2019,124247026,121741078,7,,
2019,124247048,121746109,7,,
2019,124247061,121746125,7,,
2019,124250324,121746125,5,,
2019,124250345,121745488,7,1,
2019,124239309,121746161,5,,
2019,124250355,121746161,7,,
2019,124247098,121746184,4,,
2019,124239343,121746203,6,,
2019,124250479,121730436,6,,
2019,124239454,121746326,4,,
2019,124247214,121730480,7,,
2019,124247213,121730480,5,,
2019,124250572,121746361,5,,
2019,124250573,121746361,7,,
2019,124247232,121746371,7,,
2019,124239495,121746375,6,,
2019,124250601,121745788,7,,
2019,124250615,121745804,7,,
2019,124239540,121746417,7,,
2019,124239569,121746445,4,,
2019,124254587,121746466,4,,
2019,124250679,121746466,1,,
2019,124254594,121746472,7,,
2019,124254629,121746511,7,,
2019,124254628,121746511,5,,
2019,124247350,121746523,7,,
2019,124250778,121746542,7,,
2019,124250777,121746542,5,,
2019,124254667,121746560,6,,
2019,124254692,121746587,4,,
2019,124254706,121746599,6,,
2019,124250835,121746612,6,,
2019,124247416,121746625,4,,
2019,124254760,121746654,4,,
2019,124254763,121746654,7,,
2019,124250869,121746657,7,,
2019,124254792,121746682,6,,
2019,124254798,121746687,7,,
2019,124254804,121746696,5,,
2019,124254805,121746696,7,,
2019,124254802,121746696,4,,
2019,124250921,121751178,1,,
2019,124254823,121746716,7,,
2019,124247483,121730748,5,,
2019,124247484,121730748,7,,
2019,124247494,121751205,6,,
2019,124254842,121746743,7,,
2019,124254856,121746755,6,,
2019,124247528,121746766,7,,
2019,124247530,121730806,7,,
2019,124254899,121746802,7,,
2019,124254898,121746802,5,,
2019,124254920,121746833,4,,
2019,124251079,121746846,7,,
2019,124251111,121746869,7,,
2019,124247627,121730922,7,,
2019,124251137,121746885,7,,
2019,124247638,121746897,7,,
2019,124254989,121746915,6,,
2019,124247657,121746919,4,,
2019,124247664,121746925,7,,
2019,124251197,121751481,4,,
2019,124251196,121751481,1,,
2019,124255013,121746938,6,,
2019,124255020,121746945,6,,
2019,124255023,121746948,1,,
2019,124251230,121751524,7,,
2019,124255047,121730999,7,,
2019,124251297,121747013,7,,
2019,124945609,122508613,7,,
2019,124940642,122508628,6,,
2019,124945618,122512372,7,,
2019,124940656,122512380,7,,
2019,124936660,122508648,6,,
2019,124936670,122508658,4,,
2019,124940690,122512413,7,,
2019,124940726,122512453,7,,
2019,124945677,122512485,7,,
2019,124940817,122512562,7,,
2019,124945719,122512571,3,,
2019,124940876,122512641,7,,
2019,124945763,122517523,6,,
2019,124945777,122512698,4,,
2019,124940938,122512713,7,,
2019,124936887,122508900,6,,
2019,124940953,122512732,7,,
2019,124940979,122512765,7,,
2019,124941005,122512798,4,,
2019,124945815,122517586,4,,
2019,124941030,122517586,1,,
2019,124941045,122512844,7,,
2019,124941053,122509000,4,,
2019,124941070,122512866,6,,
2019,124945831,122509018,5,,1
2019,124941079,122509018,7,1,
2019,124941123,122512932,7,,
2019,124945870,122517649,3,,
2019,124941174,122512990,7,,
2019,124941187,122513014,7,,
2019,124941204,122513036,6,,
2019,124937088,122513075,7,,
2019,124945912,122513077,7,,
2019,124941264,122513110,1,,
2019,124945956,122517756,1,,
2019,124941316,122513173,1,,
2019,124945963,122513176,6,,
2019,124937147,122513187,6,,
2019,124941325,122513187,4,,
2019,124941332,122513194,4,,
2019,124945973,122517774,4,,
2019,124941348,122513218,5,,
2019,124941349,122513218,7,,
2019,124941360,122513227,7,,
2019,124937181,122509282,1,,
2019,124937187,122513238,7,,
2019,124941370,122513242,7,,
2019,124941382,122513251,4,,
2019,124941381,122513251,1,,
2019,124941384,122513253,4,,
2019,124941386,122513255,7,,
2019,124941385,122513255,5,,
2019,124946008,122517821,7,,
2019,124946007,122517821,5,,
2019,124941404,122513274,6,,
2019,124941410,122513282,4,,
2019,124937217,122513305,7,,
2019,124937215,122513305,5,,
2019,124941432,122513310,3,,
2019,124941451,122513334,6,,
2019,124937232,122513339,4,,
2019,124937241,122513347,5,,1
2019,124937242,122513347,7,1,
2019,124941472,122513365,7,,
2019,124937253,122509366,4,,
2019,124941484,122513375,4,,
2019,124941483,122513375,1,,
2019,124941487,122513377,6,,
2019,124941488,122513379,7,,
2019,124236666,121738077,4,,
2019,124236678,121738094,7,,
2019,124236687,121738103,7,,
2019,124236686,121738103,5,,
2019,124245082,121738110,5,,
2019,124236696,121738110,7,,
2019,124241769,121741331,5,,
2019,124241770,121741331,7,,
2019,124236741,121738150,4,,
2019,124236744,121738151,5,,
2019,124236745,121738151,7,,
2019,124236755,121738158,7,,
2019,124241857,121728172,7,,
2019,124245132,121728172,5,,
2019,124236801,121738206,7,1,
2019,124236808,121738213,1,,
2019,124236809,121738213,5,,
2019,124241905,121738213,4,,
2019,124236810,121738213,7,,
2019,124236911,121738322,7,,
2019,124236933,121741674,6,,
2019,124245276,121738367,7,,
2019,124245274,121738367,5,,
2019,124236970,121738396,7,,
2019,124236990,121738414,6,,
2019,124237016,121738439,7,,
2019,124237027,121741819,6,,
2019,124242298,121738470,4,,
2019,124242318,121738485,7,,
2019,124237086,121738522,6,,
2019,124245395,121738558,6,,
2019,124237138,121738592,7,,
2019,124237137,121738592,5,,
2019,124242498,121738606,4,,
2019,124237157,121738610,7,,
2019,124237167,121738620,7,,
2019,124237166,121738620,5,,
2019,124237178,121738634,4,,
2019,124245435,121728463,1,,
2019,124242543,121738640,7,,
2019,124237206,121738659,7,,
2019,124237205,121738659,5,,
2019,124237228,121738686,6,,
2019,124242704,121738739,4,,
2019,124245493,121738749,6,,
2019,124242766,121738772,4,,
2019,124237347,121738804,4,,
2019,124242807,121738806,6,,
2019,124245562,121742490,7,,
2019,124242825,121742501,7,,
2019,124237401,121742586,7,,
2019,124245619,121728643,7,,
2019,124242937,121742619,4,,
2019,124242955,121738913,6,,
2019,124243000,121728674,6,,
2019,124245666,121728677,6,,
2019,124243037,121728683,7,1,
2019,124243072,121742805,3,,
2019,124245695,121739024,4,,
2019,124237521,121739041,4,,
2019,124243121,121728725,7,,
2019,124237541,121739059,7,,
2019,124237547,121728737,7,,
2019,124237562,121728750,6,,
2019,124243193,121728758,1,,
2019,124245746,121742970,7,,
2019,124237577,121742970,5,,
2019,124237593,121728786,5,,
2019,124243250,121728786,7,,
2019,124243262,121728791,6,,
2019,124243294,121743063,5,,
2019,124243338,121739174,5,,1
2019,124243340,121739174,7,1,
2019,124243359,121739185,7,,
2019,124243364,121743142,7,,
2019,124243388,121728851,6,,
2019,124243402,121743193,4,,
2019,124243447,121739240,6,,
2019,124243494,121739275,7,,
2019,124243501,121728889,1,,
2019,124243502,121728889,4,,
2019,124245864,121743342,4,,
2019,124237767,121739311,7,,
2019,124243561,121728930,7,,
2019,124245878,121739322,7,,
2019,124243581,121739333,7,,
2019,124243604,121743399,7,,
2019,124245889,121743399,5,,
2019,124243625,121743424,7,,
2019,124237893,121739446,6,,
2019,124243746,121743575,1,,
2019,124237956,121739536,7,,
2019,124243825,121743673,4,,
2019,124237972,121729082,4,,
2019,124237977,121743690,4,,
2019,124243840,121743690,7,,
2019,124237999,121729102,7,,
2019,124238013,121729112,7,,
2019,124238036,121729130,7,1,
2019,124238043,121739622,7,1,
2019,124246067,121729151,7,,
2019,124243961,121729176,7,,
2019,124243973,121739676,4,,
2019,124238095,121743878,6,,
2019,124238112,121739708,7,,
2019,124238145,121739747,7,,
2019,124244075,121739765,4,,
2019,124238166,121739765,7,,
2019,124244084,121743991,7,,
2019,124238175,121739781,7,1,
2019,124238184,121739790,4,,
2019,124238198,121744030,7,,
2019,124246235,121744124,7,,
2019,124244195,121729336,7,,
2019,124244207,121729343,7,,
2019,124238289,121739913,6,,
2019,124244258,121739943,4,,
2019,124238323,121739952,7,,
2019,124238343,121739972,7,,
2019,124238342,121739972,5,,
2019,124244291,121744231,7,,
2019,124238361,121744251,6,,
2019,124244321,121744266,1,,
2019,124244324,121744271,1,,
2019,124238379,121740017,6,,
2019,124244340,121729448,7,,
2019,124238410,121740062,6,,
2019,124244394,121729485,6,,
2019,124238449,121744383,7,,
2019,124238514,121740174,6,,
2019,124238518,121740178,7,,
2019,124244500,121740210,7,,
2019,124244514,121744520,4,,
2019,124238596,121740253,6,,
2019,124246488,121744579,6,,
2019,124246498,121740285,7,1,
2019,124244573,121740285,5,,1
2019,124238623,121740291,6,,
2019,124238630,121729650,7,,
2019,124249584,121729650,5,,
2019,124246528,121740333,7,,
2019,124249617,121729687,6,,
2019,124238684,121740361,6,,
2019,124238693,121740368,4,,
2019,124238694,121740368,7,,
2019,124246557,121729717,6,,
2019,124238699,121740382,7,,
2019,124238706,121740391,7,,
2019,124246568,121740391,5,,
2019,124249723,121744761,6,,
2019,124249746,121740460,7,,
2019,124249757,121744798,7,,
2019,124249768,121729791,4,,
2019,124249774,121740479,7,,
2019,124249799,121740507,6,,
2019,124249814,121744865,7,,
2019,124249813,121744865,4,,
2019,124249844,121744899,7,,
2019,124246673,121744908,7,,
2019,124238847,121744921,7,,
2019,124238846,121744921,4,,
2019,124246690,121740585,7,,
2019,124249876,121740589,7,,
2019,124249882,121740602,4,,
2019,124238871,121740612,6,,
2019,124238892,121740634,7,,
2019,124238905,121744982,7,,
2019,124249920,121744989,7,,
2019,124249922,121729915,7,,
2019,124249934,121745004,4,,
2019,124238934,121729940,6,,
2019,124238950,121729955,6,,
2019,124246775,121745053,7,,
2019,124246789,121740736,7,,
2019,124249996,121740751,4,,
2019,124246813,121740776,7,,
2019,124250021,121730016,7,,
2019,124250037,121740804,7,,
2019,124250087,121740855,7,,
2019,124239070,121740865,5,,
2019,124239071,121740865,7,,
2019,124239080,121730091,7,,
2019,124239097,121745221,5,,1
2019,124250127,121745221,7,1,
2019,124775554,122315718,4,,
2019,124780388,122319154,6,,
2019,124775564,122319175,6,,
2019,124256809,121748940,6,,
2019,124256813,121748946,7,,
2019,124253351,121748949,3,,
2019,124256822,121748956,5,,
2019,124256823,121748956,7,,
2019,124256825,121748957,7,,
2019,124256824,121748957,5,,
2019,124249219,121757663,6,,
2019,124253359,121748961,7,,
2019,124936458,122512151,2,,
2019,124940467,122512176,7,,
2019,124940479,122512187,8,,
2019,124945507,122512222,7,,
2019,124945516,122512230,7,,
2019,124936536,122512249,6,,
2019,124940584,122512310,7,,
2019,124936619,122517347,4,,
2019,124940613,122512334,4,,
2019,124940655,122512379,7,,
2019,124940671,122512391,7,,
2019,124945659,122508699,7,,
2019,124945668,122512466,4,,
2019,124936768,122512545,7,,
2019,124945711,122517471,7,,
2019,124936805,122512598,5,,
2019,124940843,122512598,7,,
2019,124945746,122517506,4,,
2019,124940880,122512647,6,,
2019,124936846,122512654,7,,
2019,124940470,122512178,6,,
2019,124940475,122512185,7,,
2019,124940496,122512202,6,,
2019,124940505,122512212,6,,
2019,124940511,122508485,6,,
2019,124945542,122517275,6,,
2019,124940557,122512273,7,,
2019,124940561,122512277,6,,
2019,124945578,122512290,1,,
2019,124245013,121738042,7,,
2019,124241646,121741218,7,,
2019,124241645,121741218,5,,
2019,124245076,121738105,7,,
2019,124236718,121738123,7,,
2019,124236717,121738123,5,,
2019,124241758,121738123,4,,
2019,124236721,121738128,5,,
2019,124236722,121738128,7,,
2019,124236751,121741383,7,,
2019,124236760,121738163,7,,
2019,124241858,121741423,7,,
2019,124245165,121738219,7,,
2019,124236839,121738244,4,,
2019,124241978,121738266,1,,
2019,124241980,121738266,4,,
2019,124236868,121738282,4,,
2019,124236901,121738314,5,,
2019,124236902,121738314,7,,
2019,124242070,121738323,4,,
2019,124242082,121738336,5,,
2019,124242085,121738336,7,,
2019,124236947,121738372,7,,
2019,124242156,121738372,5,,
2019,124242178,121741719,7,,
2019,124242177,121741719,5,,
2019,124245296,121741748,7,,
2019,124237017,121738441,7,,
2019,124242266,121738449,4,,
2019,124242285,121738464,7,,
2019,124237083,121738519,4,,
2019,124237084,121738519,7,,
2019,124237088,121738525,3,,
