"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,123829724,3,3000,,137329664
2019,123811173,3,200,,137309414
2019,123811185,12,100,,137332412
2019,123834675,38,1,,137332440
2019,123829779,9,0,,137329725
2019,123811230,63,20,,137309464
2019,123811229,63,1,,137332465
2019,123811230,26,135,,137309463
2019,123811243,19,37,,137329747
2019,123811281,10,,,137332527
2019,123811290,63,200,,137309527
2019,123811356,10,,,137309590
2019,123811363,16,800,,137332601
2019,123829876,7,1000,,137332608
2019,123834849,63,800,,137332635
2019,123811407,63,1,,137329842
2019,123829891,3,2000,,137309658
2019,123811424,63,55,,137309677
2019,123811432,38,500,,137309687
2019,123811434,63,12,,137309689
2019,123811435,3,1,,137309690
2019,123811443,19,8,,137309697
2019,123811453,3,1,,137309705
2019,123811462,13,250,,137309715
2019,123811472,63,1,,137309730
2019,123811476,14,9,,137329875
2019,123811476,8,2,,137329874
2019,123811476,63,1,,137309735
2019,123811486,38,600,,137309748
2019,123834920,36,188,,137332711
2019,123811490,38,75,,137309753
2019,124245703,36,3,,137882091
2019,124237511,63,2,,137884595
2019,124243098,20,280,,137882106
2019,124237573,38,1,,137884718
2019,124243200,25,20,,137866797
2019,124243200,20,2,,137884722
2019,124243215,11,1,,137884736
2019,124243215,10,,,137884735
2019,124245760,63,50,,137884785
2019,124237475,3,1,,137884508
2019,124243076,16,25,,137884580
2019,124245768,36,4300,,137884805
2019,124245768,6,300,,137884804
2019,124243318,4,1,,137882242
2019,124243381,3,1,,137884923
2019,124243416,63,150,,137884971
2019,124243432,20,40,,137882326
2019,124243456,20,200,,137885010
2019,124243454,63,1,16-DEC-19,137885009
2019,124243456,25,201,,137866904
2019,124243454,25,201,16-DEC-19,137885007
2019,124243456,63,101,,137885012
2019,124245833,25,20,,137866912
2019,124245833,20,25,,137887355
2019,124245833,7,130,,137866911
2019,124237733,10,,,137887365
2019,124237753,63,1100,,137887386
2019,124243558,10,,,137887408
2019,124243583,20,25,,137885165
2019,124237796,63,1,,137887436
2019,124243596,63,70,,137885177
2019,124243610,11,1,,137887446
2019,124243619,3,10000,,137885199
2019,124245894,63,1,,137885206
2019,124243658,26,200,,137885236
2019,124243668,3,20340,,137885248
2019,124243667,3,20340,13-SEP-19,137885247
2019,124237848,63,600,,137887487
2019,124237921,20,40,,137887566
2019,124245972,63,200,12-DEC-19,137867071
2019,124237921,63,200,,137867072
2019,124243774,38,3,,137867075
2019,124237928,63,1,,137887578
2019,124243784,63,1,07-JUN-19,137887577
2019,124243810,63,1,,137887604
2019,124243812,63,1,,137885408
2019,124243822,63,1,,137885428
2019,124237971,17,3,,137887633
2019,124238002,26,1,,137887668
