"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,5,124771813,1,1,13886264
2019,12,124775751,0.2,1,13901223
2019,5,124771966,7,1,13901225
2019,5,124775764,1,1,13901226
2019,12,124775772,1,1,13901230
2019,12,124775785,1.7,1,13901234
2019,5,124775834,1,1,13901244
2019,5,124775848,5,1,13901246
2019,12,124775939,0.25,1,13901266
2019,12,124775967,0.6,1,13901274
2019,5,124772133,1,1,13886336
2019,12,124780657,1,1,13896121
2019,15,124780664,2,9,13901294
2019,12,124772192,0.1,1,13886348
2019,5,124780697,3.6,1,13896126
2019,15,124780740,3,9,13896134
2019,5,124776288,1,1,13901337
2019,5,124776328,0.7,1,13901347
2019,5,124776336,0.5,1,13901350
2019,12,124776358,2.3,1,13901355
2019,5,124776384,45.5,1,13901357
2019,5,124776402,1.85,1,13901363
2019,5,124776427,1.5,1,13901374
2019,12,124776444,1.4,1,13901382
2019,12,124780876,4.6,1,13896167
2019,5,124776541,4.8,1,13901410
2019,5,124776585,15.5,1,13896174
2019,16,124780934,1,11,13896175
2019,12,124772559,0.1,1,13886407
2019,16,124776708,4,9,13886410
2019,5,124772569,3,1,13886412
2019,12,124776711,0.4,1,13901435
2019,5,124776724,1,1,13901438
2019,5,124776751,170,1,13901443
2019,5,124772301,3.3,1,13886370
2019,5,124780834,3,1,13886385
2019,5,124776459,2.28,1,13901387
2019,12,124776482,1,11,13901395
2019,14,124780964,1,9,13886404
2019,5,124772620,1,11,13901450
2019,5,124776791,1,1,13901453
2019,5,124781036,2.4,1,13896194
2019,5,124781064,1,1,13896202
2019,4,124772743,0.1,1,13901493
2019,5,124776959,6,1,13901494
2019,16,124776972,22,9,13901495
2019,5,124777036,2,1,13901513
2019,12,124777044,3.79,1,13901515
2019,5,124777050,9.8,1,13901516
2019,12,124777057,2.1,1,13901518
2019,5,124777084,2,1,13901528
2019,4,124781119,1,1,13896208
2019,12,124772850,2,1,13886466
2019,5,124777142,1,11,13886469
2019,2,124777167,1,1,13901547
2019,5,124772877,0.8,1,13896218
2019,5,124781170,8,1,13901555
2019,5,124772884,0.7,1,13901559
2019,5,124781193,1.1,1,13896224
2019,5,124777272,1.9,1,13886477
2019,12,124781207,2.14,1,13901568
2019,12,124777319,1,1,13901579
2019,5,124777331,2,1,13901582
2019,5,124781246,2.9,1,13896237
2019,12,124777375,0.3,1,13901595
2019,16,124777448,2,9,13901616
2019,5,124775561,1,1,13896055
2019,5,124777333,1,1,13896235
2019,12,124772931,1.2,1,13886487
2019,5,124777406,0.4,1,13901601
2019,5,124777409,1,11,13901602
2019,5,124777449,0.6,1,13896250
2019,5,124777457,3.3,1,13901621
2019,12,124777484,1,1,13901628
2019,12,124777581,17.4,1,13901646
2019,12,124777623,4.05,1,13901655
2019,5,124777649,1,1,13901661
2019,5,124777714,8.85,3,13901671
2019,5,124777720,0.7,1,13901673
2019,5,124777763,1.2,1,13901685
2019,12,124781524,0.8,1,13901704
2019,5,124777909,7.34,1,13901710
2019,12,124777992,1.4,1,13901734
2019,5,124773199,20.8,1,13886555
2019,5,124778055,1,1,13896316
2019,5,124778059,0.62,1,13901745
2019,12,124778102,0.1,1,13901758
2019,12,124778171,0.6,1,13901774
2019,5,124773298,2.5,1,13886580
2019,4,124773302,1,1,13886582
2019,5,124778250,4.7,3,13901792
2019,16,124778261,36,9,13886586
2019,12,124773335,1.66,1,13886588
2019,5,124778365,4.8,1,13901803
2019,5,124778421,1.5,1,13901815
2019,5,124778466,12.6,3,13901823
2019,5,124778476,0.1,1,13901826
